Верхний зуб 1,Верхний зуб 2,Верхний зуб 3,Верхний зуб 4,Верхний зуб 5,Верхний зуб 6,Нижний зуб 1,Нижний зуб 2,Нижний зуб 3,Нижний зуб 4,Нижний зуб 5,Нижний зуб 6,Индекс 1
6.58,4.2,6.03,4.59,9.42,9.92,3.95,3.26,0.73,6.32,7.34,8.2,136.711
8.65,4.47,3.86,5.89,9.47,5.26,2.28,0.55,8.9,2.88,8.75,5.12,132.022
4.45,1.1,5.98,6.12,5.96,9.07,3.07,4.69,6.34,6.1,0.46,7.57,115.763
3.84,2.03,9.35,5.88,3.72,7.22,3.26,5.62,1.53,2.96,2.68,2.0,177.507
0.31,0.2,6.96,8.28,9.48,2.6,4.22,4.12,1.02,7.98,8.82,5.58,87.681
4.47,1.28,4.25,4.79,1.82,4.59,2.66,7.26,2.92,9.73,4.07,8.76,59.887
4.87,1.32,7.1,3.17,7.39,7.09,7.09,4.58,3.72,3.91,0.9,8.85,106.506
6.99,2.52,9.67,7.0,8.93,9.76,7.84,2.6,9.93,0.22,3.07,4.54,159.113
9.3,7.13,6.59,8.07,2.65,4.5,5.91,1.35,2.55,7.28,6.03,9.05,118.869
5.03,4.59,6.08,6.84,8.25,4.1,8.81,3.03,2.95,9.61,0.86,1.82,128.840
7.95,3.88,8.03,4.47,0.24,4.08,3.2,0.66,2.69,2.96,9.97,0.88,140.717
8.78,2.28,3.02,3.51,4.03,1.15,4.43,0.78,6.12,5.48,2.89,8.13,81.818
4.94,0.24,4.71,4.64,1.9,0.49,7.83,5.77,9.89,6.75,0.37,5.71,46.586
2.87,5.55,4.34,9.44,0.83,2.85,4.59,3.21,4.27,1.81,0.7,9.08,109.383
3.03,7.52,2.94,8.37,2.76,8.81,0.42,8.07,1.68,1.54,8.96,7.76,117.587
8.4,2.0,8.1,3.62,8.09,6.23,4.04,7.92,9.55,0.63,4.63,5.71,112.192
2.89,2.32,5.6,5.72,1.1,6.86,7.02,5.13,3.32,5.15,4.55,4.14,83.555
1.93,0.03,5.78,4.77,6.22,9.58,4.78,8.66,4.13,9.5,5.04,4.63,77.055
8.04,6.15,3.89,4.29,9.38,0.11,5.83,1.33,1.65,8.58,2.15,2.6,143.902
7.69,7.15,3.33,8.73,9.12,7.22,9.44,6.6,6.26,4.42,2.32,8.11,116.393
9.0,1.65,6.49,3.15,6.58,4.43,3.74,4.43,5.14,1.93,6.41,1.8,133.475
9.41,8.01,9.05,0.14,9.85,1.57,4.87,5.18,4.57,4.49,3.33,4.6,140.643
9.17,3.64,2.65,6.35,2.17,8.11,3.83,2.03,4.85,2.52,0.46,9.14,140.561
3.93,9.49,5.65,3.07,3.3,2.06,0.78,4.79,7.02,6.85,1.42,9.9,89.402
1.21,9.98,2.58,2.5,9.48,3.38,9.99,3.7,6.65,1.73,8.48,8.92,73.803
0.91,2.35,5.68,7.19,6.88,1.45,6.27,0.92,2.91,5.98,6.37,8.01,80.302
9.24,7.85,4.99,4.04,8.36,9.13,6.03,9.99,1.63,2.45,6.24,8.64,124.671
0.29,6.18,5.69,4.92,0.28,4.82,8.0,5.92,6.9,1.85,6.86,3.74,66.667
6.31,9.65,5.88,0.72,2.22,9.63,5.49,6.56,1.11,6.28,8.44,7.14,98.258
3.05,7.12,7.91,3.42,8.42,3.14,5.1,3.86,8.81,3.84,0.51,2.47,134.445
7.16,1.05,6.63,2.64,2.57,8.67,6.28,1.64,2.33,0.45,7.63,5.98,118.141
0.52,5.13,5.73,6.63,7.56,2.11,2.38,9.3,8.1,2.35,1.93,0.78,111.433
1.89,8.52,3.41,1.77,1.82,9.04,7.84,4.38,7.82,4.6,8.36,0.54,78.861
5.23,7.54,2.65,1.76,8.14,1.03,7.91,1.09,2.6,4.18,3.94,1.64,123.361
2.96,7.49,2.47,4.43,7.02,7.02,8.07,1.77,4.99,6.29,5.37,4.63,100.868
5.63,9.93,8.32,1.07,0.41,5.62,1.5,5.87,7.62,1.15,5.5,6.99,108.208
7.41,6.55,2.64,3.56,7.07,5.41,2.38,5.93,5.35,2.52,3.38,8.94,114.526
2.95,5.97,9.38,0.23,4.6,1.31,7.28,1.01,7.53,0.44,0.91,6.16,104.758
2.28,9.87,1.79,7.92,8.69,7.89,7.97,1.9,0.14,7.18,5.33,0.42,167.568
5.91,5.42,7.91,8.17,9.27,2.53,5.3,0.64,9.42,1.27,1.03,5.23,171.298
3.05,5.06,3.47,9.14,3.34,7.32,0.96,8.42,6.31,8.91,5.08,1.76,99.809
5.72,4.41,6.89,3.7,4.9,5.59,4.15,6.9,0.42,3.46,5.81,9.19,104.277
4.33,9.38,6.28,0.16,7.84,7.5,6.58,1.11,1.84,0.22,4.38,3.26,204.083
2.19,1.63,8.44,3.92,3.92,8.14,0.9,2.96,7.41,6.51,0.05,5.84,119.307
3.43,1.26,1.45,5.71,8.59,6.79,7.26,4.33,2.84,2.6,4.65,5.02,101.985
6.13,5.02,9.86,3.88,4.71,5.26,9.95,4.69,9.79,9.28,5.71,7.43,74.408
5.89,8.54,4.8,6.46,6.44,7.77,1.61,4.23,9.37,9.5,9.58,7.08,96.447
4.77,9.14,6.67,5.41,1.23,8.88,7.54,7.6,8.73,6.69,9.33,4.78,80.815
0.82,4.94,2.33,2.85,3.28,3.71,1.38,6.76,9.3,4.11,1.4,9.69,54.933
6.88,7.16,3.81,1.22,7.16,7.16,6.18,5.74,6.77,0.1,9.3,7.09,94.912
0.94,2.88,4.53,5.58,7.41,0.67,2.08,6.82,7.66,4.09,6.89,7.87,62.158
8.14,2.85,1.25,3.97,5.83,2.04,1.11,9.95,9.08,5.58,7.06,8.84,57.857
5.06,6.43,5.3,3.48,8.86,3.92,5.88,7.91,3.72,3.72,5.09,3.3,111.580
8.5,2.63,9.82,4.09,5.13,6.7,1.1,5.57,9.97,5.57,1.48,6.19,123.394
2.97,4.73,2.06,2.53,8.33,4.48,5.09,1.83,6.17,6.97,2.32,5.28,90.745
7.24,5.12,4.02,9.23,8.81,9.84,1.36,5.35,1.4,8.26,6.08,5.82,156.562
7.99,6.02,1.08,4.07,4.07,3.56,1.4,9.41,7.86,0.17,4.89,2.04,103.958
1.86,5.0,2.46,1.21,9.1,4.44,0.39,9.17,0.93,2.83,5.81,7.43,90.625
8.83,5.84,0.33,7.27,4.28,6.22,0.58,6.63,0.41,4.04,6.99,4.69,140.403
8.6,7.03,9.73,4.77,3.09,6.9,2.34,1.64,0.74,3.19,6.32,0.74,268.003
4.72,4.14,5.18,1.67,5.98,5.1,1.73,4.76,5.14,1.39,4.85,8.19,102.801
9.5,2.19,0.21,7.25,8.92,9.92,1.2,4.83,2.5,9.79,3.31,9.64,121.490
4.85,4.49,6.0,1.86,6.81,6.49,6.95,0.4,2.35,5.19,1.75,0.81,174.785
6.12,4.89,3.38,4.62,8.54,3.1,2.0,3.52,4.47,8.57,8.03,2.18,106.535
8.04,4.7,5.95,1.78,4.19,2.58,8.26,7.99,5.67,5.62,8.25,3.42,69.472
2.01,5.25,1.01,4.46,3.37,1.32,6.88,1.15,8.03,5.98,4.89,1.49,61.295
5.33,4.58,4.83,9.59,4.44,6.47,5.99,4.23,7.57,7.19,9.81,8.67,81.086
6.23,8.73,4.65,2.99,0.57,1.46,2.12,0.31,9.1,9.46,8.17,6.48,69.108
1.57,7.28,6.06,6.07,2.77,9.57,6.13,6.72,2.31,3.4,6.5,0.96,128.055
0.87,0.05,7.55,0.44,0.74,4.12,0.61,9.66,2.33,4.58,9.16,1.81,48.917
9.84,7.33,1.34,5.92,7.91,8.07,9.55,0.88,3.14,2.41,0.19,2.88,212.126
9.83,4.27,4.77,2.61,5.07,2.99,7.52,3.66,4.39,9.42,6.61,0.57,91.825
6.76,1.89,2.31,5.85,1.24,5.42,9.44,3.56,5.55,3.2,2.97,1.49,89.546
8.7,3.91,0.93,0.78,6.83,8.6,2.9,4.68,0.86,2.62,4.78,6.17,135.166
5.65,6.68,3.73,4.59,0.83,0.58,0.16,5.75,7.25,5.94,4.91,6.24,72.926
1.91,9.97,1.65,8.41,2.88,0.87,7.46,1.36,7.63,2.7,2.81,7.55,87.055
6.59,7.96,4.24,6.97,2.31,6.69,8.2,2.31,9.65,0.31,9.03,5.08,100.521
0.31,7.26,1.31,4.91,7.69,3.94,8.11,9.24,9.39,9.99,9.22,5.02,49.872
4.19,0.98,4.99,0.01,2.37,2.76,5.5,7.71,6.67,1.28,8.82,3.79,45.306
2.62,8.71,3.86,2.48,7.02,1.83,2.46,5.15,8.72,5.42,7.04,5.63,77.048
0.38,5.5,0.55,2.42,1.54,3.23,8.94,4.09,7.19,6.78,2.03,7.67,37.112
8.36,1.79,2.24,8.64,5.54,1.08,6.89,7.84,5.58,4.15,1.9,3.82,91.617
4.15,4.57,1.46,0.99,3.17,2.42,2.9,4.66,1.56,6.46,4.59,0.61,80.654
0.85,7.12,1.85,8.93,5.23,3.93,8.95,6.55,1.17,7.8,1.68,2.87,96.175
4.55,5.96,3.28,5.65,0.58,4.99,9.12,9.56,9.33,3.1,9.53,9.39,49.990
8.13,2.88,0.2,7.48,1.01,5.81,6.39,6.03,7.89,0.36,7.36,6.7,73.452
6.06,4.28,7.58,9.99,6.68,1.32,6.98,9.63,2.78,4.91,0.68,1.79,134.143
6.0,9.69,0.45,4.45,9.35,7.36,0.73,0.78,3.46,8.17,3.17,2.25,200.970
8.2,2.91,0.22,7.19,6.56,8.13,1.22,2.32,2.78,8.97,4.16,3.17,146.817
5.29,3.64,7.39,2.73,5.4,6.7,3.94,3.8,0.41,4.2,5.05,8.76,119.075
4.98,4.47,5.36,1.2,1.11,3.3,8.15,6.08,7.79,0.82,5.35,5.39,60.810
6.77,6.16,5.11,5.67,9.81,8.83,4.49,5.74,6.87,5.74,2.5,5.76,136.174
3.22,4.24,9.29,1.44,1.62,7.96,0.67,0.63,2.18,9.34,4.45,2.62,139.618
9.73,3.95,4.37,6.29,7.38,9.37,6.75,8.34,9.67,8.28,9.65,5.81,84.722
9.42,0.11,7.57,2.76,7.85,7.76,0.65,0.93,5.53,2.18,3.79,5.0,196.184
8.22,7.69,0.63,3.07,2.84,5.6,9.88,7.31,2.38,6.95,9.68,7.74,63.837
1.82,8.66,5.07,7.33,8.94,5.61,4.7,7.93,1.14,3.07,5.54,3.47,144.797
2.28,1.84,8.53,7.91,5.84,0.6,2.3,5.92,5.79,0.54,0.78,7.09,120.428
4.74,0.98,7.64,7.54,4.08,0.51,1.95,1.21,3.6,0.34,9.96,0.37,146.242
6.97,4.95,9.81,2.39,1.22,9.42,8.97,2.53,4.43,2.36,9.19,4.04,110.279
3.51,3.71,6.93,9.63,6.8,2.27,7.74,8.31,0.43,6.64,2.0,9.18,95.773
9.4,7.69,1.66,5.05,0.97,4.85,6.88,7.57,5.34,7.57,9.26,4.83,71.460
6.98,6.77,1.02,8.59,8.71,0.99,2.56,8.75,6.86,2.46,0.62,2.36,140.025
1.5,7.36,2.51,3.56,7.68,2.81,1.67,6.18,7.1,7.0,3.44,7.47,77.358
5.36,9.45,7.85,3.9,2.4,3.2,8.11,2.48,9.95,6.03,2.09,0.36,110.820
5.95,9.08,7.62,7.54,7.09,3.03,0.63,0.73,8.43,6.2,0.69,7.31,168.028
5.0,2.56,7.78,8.39,1.92,1.31,0.7,5.02,4.18,6.35,5.15,3.33,109.017
1.08,8.26,8.03,2.55,2.65,3.98,9.76,5.68,2.42,9.07,8.58,1.49,71.757
5.88,7.33,2.73,8.29,4.74,8.17,7.06,5.19,6.86,3.99,8.85,1.45,111.198
9.33,1.8,9.02,9.5,5.55,6.02,9.97,9.92,1.56,0.92,3.34,1.57,151.100
8.66,3.42,6.69,6.62,0.24,1.93,4.69,7.55,2.41,1.55,1.37,4.25,126.306
1.69,0.21,1.11,0.74,1.85,3.75,6.7,4.49,9.11,6.68,3.92,8.06,23.999
4.67,1.69,3.21,9.45,4.34,4.17,7.23,4.8,9.8,4.27,4.17,5.86,76.197
4.08,3.01,10.0,0.3,9.72,9.36,7.74,6.34,0.9,4.15,0.96,0.28,179.038
8.17,4.82,1.68,8.78,0.85,4.69,2.35,5.96,1.91,7.71,1.61,6.07,113.198
4.45,7.6,3.54,9.65,2.65,7.68,9.02,0.7,9.39,5.93,1.42,0.35,132.674
0.66,6.31,4.66,7.07,3.53,6.4,0.43,2.34,4.05,8.55,6.67,4.57,107.591
6.8,5.68,8.5,9.88,4.77,3.61,4.16,8.98,7.51,1.91,8.14,0.17,127.114
4.01,3.06,9.67,0.47,8.72,2.79,6.9,1.28,4.68,0.38,0.97,6.94,135.792
9.57,7.96,6.07,0.65,2.86,7.03,5.85,9.17,9.66,5.81,3.54,0.02,100.264
6.75,3.39,8.64,7.92,8.43,8.68,7.86,7.08,7.3,6.05,2.51,8.07,112.709
6.9,9.86,3.68,4.42,9.25,5.04,8.41,2.43,5.64,1.37,7.25,2.43,142.208
2.66,4.33,7.44,2.38,4.12,9.79,2.4,2.67,4.35,3.69,6.82,4.93,123.572
0.85,0.81,4.99,7.82,2.0,8.94,5.37,1.47,4.55,3.72,4.42,8.14,91.832
2.44,6.32,6.19,4.7,0.76,7.83,3.77,9.65,8.05,1.19,9.32,5.89,74.571
9.66,3.4,6.31,2.15,2.48,4.44,5.12,6.93,1.74,0.53,2.03,9.42,110.361
1.47,0.74,0.58,0.07,6.14,6.38,0.06,5.26,0.23,9.76,0.4,2.83,82.956
4.14,6.17,3.69,9.19,7.25,2.35,0.69,5.32,6.74,8.51,4.35,5.77,104.493
8.12,2.18,5.18,2.01,4.65,8.53,6.17,5.77,1.87,5.47,7.31,4.15,99.772
0.62,7.53,1.07,1.11,9.49,5.42,8.4,1.94,7.05,3.93,0.84,9.2,80.485
3.4,1.62,1.05,7.76,2.81,2.87,8.73,0.37,2.26,1.7,6.58,6.71,74.042
2.4,6.66,6.82,6.01,5.13,0.38,5.77,3.77,1.18,5.41,5.02,7.49,95.670
6.12,9.79,7.38,2.34,5.39,4.84,1.41,7.94,5.49,9.18,8.07,5.19,96.191
2.17,1.4,2.54,8.87,0.22,4.35,5.88,9.9,9.61,4.9,6.53,5.51,46.185
4.16,7.23,5.54,3.55,2.56,4.08,5.81,7.02,8.68,5.77,1.45,9.22,71.462
9.16,0.97,4.6,9.39,8.78,0.07,7.63,3.16,6.35,1.71,9.42,6.68,94.335
4.05,8.34,7.07,8.41,8.96,0.54,5.84,4.77,8.8,1.31,4.26,8.29,112.323
3.28,1.16,3.29,1.8,5.77,2.14,7.35,9.9,3.46,3.81,0.75,5.62,56.458
6.21,7.37,7.31,6.34,8.5,9.02,1.01,6.98,9.67,2.29,4.6,8.59,135.033
1.94,3.56,5.01,8.29,4.56,5.53,6.06,9.92,9.62,8.03,2.67,7.28,66.292
9.87,1.34,7.22,1.55,1.35,5.66,8.87,9.06,6.09,1.74,9.41,3.11,70.507
9.05,2.8,4.82,5.8,7.87,1.17,2.93,4.8,3.9,7.07,1.66,7.33,113.796
2.91,0.33,3.77,7.11,7.86,3.67,6.45,5.1,4.7,3.1,1.55,9.8,83.550
2.19,0.68,7.33,7.66,0.23,8.62,5.46,5.02,4.21,1.98,7.11,3.31,98.597
6.94,5.37,4.23,3.77,1.47,5.6,1.88,2.39,3.14,8.01,9.27,1.4,104.944
0.14,5.27,6.94,2.84,0.56,1.54,1.92,5.01,8.85,1.95,5.23,8.46,55.029
1.56,4.15,6.72,2.68,3.17,8.06,8.42,0.28,0.56,9.19,4.32,8.01,85.575
2.53,7.6,1.79,3.44,2.38,2.56,8.65,2.46,1.43,8.27,7.44,1.38,68.512
8.82,1.04,7.39,6.86,7.29,6.12,7.63,8.72,7.08,6.2,8.11,9.17,79.983
1.56,5.77,3.81,2.87,9.01,3.1,1.3,1.91,8.49,5.25,7.99,7.88,79.586
8.47,8.31,9.84,6.7,4.76,5.54,5.68,1.52,5.56,5.49,6.25,1.87,165.415
0.5,1.36,7.46,6.92,9.34,7.95,2.06,7.49,3.79,6.71,0.39,8.88,114.359
6.39,2.28,8.27,9.09,2.09,7.48,3.03,2.73,5.38,7.96,1.66,7.71,125.044
9.12,2.42,3.63,8.84,7.29,3.27,4.27,3.19,8.99,1.91,4.99,8.94,107.061
1.62,4.63,5.53,0.44,6.65,5.59,7.03,4.28,3.82,3.21,3.28,9.53,78.523
4.31,4.92,2.99,4.63,7.78,4.83,6.98,6.78,8.58,8.36,0.32,2.26,88.522
9.31,7.56,4.95,2.14,4.27,1.08,7.74,6.03,8.87,8.87,9.27,3.0,66.948
4.52,0.22,0.08,0.93,8.71,7.34,5.35,6.7,4.97,5.62,7.28,6.08,60.556
7.87,3.27,2.12,1.63,5.31,5.97,4.33,1.39,6.97,1.54,4.01,3.63,119.662
3.62,9.59,9.73,3.15,9.25,7.13,7.76,3.04,9.3,6.87,1.09,3.24,135.687
5.28,0.53,8.36,7.41,3.63,6.99,5.14,2.32,6.59,6.86,0.88,1.07,140.857
4.02,1.48,4.55,5.82,0.79,9.13,8.48,3.36,5.38,8.66,6.62,5.04,68.700
3.32,6.0,6.43,3.91,7.43,8.81,6.63,1.68,6.37,9.13,8.75,2.49,102.425
7.23,3.4,7.32,3.73,8.28,0.37,5.24,1.26,6.7,7.43,0.66,5.33,113.937
7.01,5.42,7.58,7.5,0.31,3.6,1.51,3.78,0.74,3.76,1.04,3.18,224.268
3.23,2.48,8.2,3.12,1.79,2.28,8.98,7.15,7.04,2.15,6.23,1.71,63.440
8.25,6.78,3.99,9.66,6.01,6.89,5.93,3.45,9.09,7.01,6.69,3.55,116.405
0.6,6.39,8.4,8.59,1.0,2.65,9.61,2.03,8.27,8.73,4.45,3.69,75.122
5.53,4.15,4.4,1.5,1.37,6.92,0.38,5.65,3.52,6.48,7.79,0.78,97.033
5.42,2.92,6.27,2.63,1.95,1.21,4.96,9.49,1.04,0.35,4.7,2.89,87.068
3.67,6.67,6.43,6.95,5.15,3.34,5.93,7.51,7.68,7.77,2.82,5.74,86.008
0.71,7.08,6.67,8.13,9.21,5.33,9.7,0.64,0.64,8.31,7.97,4.58,116.614
1.22,9.18,3.96,7.24,0.06,0.52,2.86,0.29,6.99,0.51,5.7,2.05,120.543
0.34,6.46,5.65,5.29,6.52,1.68,6.41,1.86,1.62,3.04,8.88,8.26,86.265
1.42,3.36,7.94,2.76,3.3,0.36,5.75,0.36,6.38,0.4,5.82,8.39,70.627
6.66,3.43,9.21,8.24,6.89,3.88,8.44,9.43,9.11,8.28,1.49,8.72,84.253
0.09,3.9,1.03,0.58,3.6,8.1,3.41,8.41,9.46,8.43,8.36,3.82,41.299
8.25,2.28,1.52,1.53,6.82,4.71,4.55,0.25,0.69,1.74,2.92,5.2,163.583
0.53,7.01,2.04,3.97,5.64,3.76,5.58,1.44,7.12,6.38,4.24,0.56,90.640
6.82,0.91,7.15,3.97,8.9,7.62,3.13,6.24,0.77,4.12,6.63,4.17,141.141
9.59,9.19,8.89,5.44,9.68,3.57,4.05,4.87,1.32,5.59,9.3,8.39,138.305
3.36,8.83,8.07,4.12,3.08,3.65,4.23,3.1,3.5,5.36,1.51,7.93,121.381
8.7,3.88,4.68,7.83,9.7,9.07,7.66,4.5,8.19,9.3,4.98,4.01,113.509
4.31,4.94,3.54,3.58,1.81,0.63,5.65,8.6,2.5,2.24,3.58,0.19,82.645
5.45,3.41,9.03,8.52,7.11,1.1,0.1,6.04,3.67,6.3,2.81,7.48,131.136
6.98,7.66,3.19,9.12,9.92,7.62,1.08,1.31,4.4,2.12,9.43,3.73,201.586
0.69,8.66,7.19,8.26,8.84,6.02,9.06,8.29,6.56,4.65,8.45,6.61,90.922
2.88,9.97,6.54,4.63,5.25,9.43,3.36,8.88,2.86,6.66,0.82,8.05,126.347
7.54,9.14,9.66,4.78,1.36,0.33,6.04,4.32,5.63,0.05,1.52,6.59,135.859
1.28,2.74,7.68,9.36,0.4,9.89,0.25,4.72,4.53,7.95,5.43,6.06,108.328
2.83,6.81,0.46,7.03,4.63,6.48,0.66,7.75,5.0,2.55,7.58,4.33,101.328
5.04,4.56,4.94,3.48,3.78,2.35,3.92,1.45,8.97,1.57,1.38,7.82,96.177
9.16,2.45,6.77,5.13,5.26,9.98,1.27,7.16,9.53,1.96,7.2,9.85,104.815
4.21,9.2,7.41,1.1,0.42,7.56,0.11,3.02,3.67,9.82,2.27,7.58,112.958
8.47,1.25,9.56,6.08,3.76,6.2,5.57,3.29,6.02,9.78,6.03,1.58,109.452
8.08,2.2,4.24,7.36,0.03,1.7,8.38,5.73,2.07,4.18,1.53,9.09,76.210
9.34,4.28,6.11,9.11,6.79,6.48,6.39,2.99,6.58,4.82,0.45,6.41,152.352
0.2,5.45,5.45,7.2,9.77,0.4,3.8,2.8,3.61,8.78,5.21,1.26,111.822
6.6,6.29,9.61,9.02,1.02,3.01,0.1,9.51,8.05,8.42,4.91,3.13,104.191
9.33,0.77,0.74,3.38,8.33,6.34,4.34,2.85,9.85,3.03,5.23,0.49,112.020
6.17,6.1,5.01,2.77,6.33,4.5,3.6,7.12,5.11,2.32,8.64,2.06,107.036
6.12,1.65,5.43,0.76,0.61,0.57,1.89,4.08,5.37,4.68,0.19,8.75,60.657
4.9,5.54,4.79,9.38,1.9,5.47,0.81,9.33,1.18,8.09,2.24,8.34,106.636
0.15,1.46,4.5,8.49,2.52,2.21,8.86,0.42,4.98,8.63,4.47,1.86,66.153
1.82,0.1,9.15,5.0,8.95,1.57,6.38,0.52,8.33,7.19,8.27,9.35,66.409
5.18,6.18,0.06,0.99,0.91,5.56,4.83,0.24,9.6,0.42,2.04,3.84,90.033
3.23,8.61,5.08,0.27,3.95,3.49,0.09,8.27,1.61,7.52,5.63,7.89,79.426
7.69,4.15,8.54,2.98,0.06,0.6,2.26,7.95,2.57,2.68,4.32,7.95,86.621
8.28,7.2,6.89,1.11,8.95,3.4,7.9,2.29,6.96,8.29,1.35,2.51,122.287
3.8,1.29,1.33,4.04,2.18,9.21,3.94,2.05,6.47,2.32,7.8,3.38,84.168
6.39,3.21,2.51,9.51,4.42,5.55,7.52,6.99,9.86,1.23,1.9,0.19,114.085
1.81,3.68,5.02,3.9,6.55,1.12,5.58,4.82,6.77,1.98,0.89,6.01,84.760
1.43,8.12,3.2,5.43,4.72,7.49,8.09,7.68,4.78,1.5,5.99,5.82,89.752
8.43,5.75,5.2,1.97,2.87,2.14,4.51,1.91,3.53,8.59,4.02,3.65,100.572
7.52,1.08,0.92,7.22,0.12,7.0,8.15,2.63,6.34,5.71,2.41,8.3,71.139
4.58,4.57,5.21,0.93,8.06,8.41,6.93,5.84,1.4,4.4,7.9,6.63,95.952
2.19,8.82,3.74,8.17,4.92,1.03,0.48,9.02,2.91,7.79,7.62,4.19,90.191
1.95,7.65,3.58,5.48,4.93,2.3,1.09,0.4,7.18,1.01,8.28,4.05,117.628
4.43,1.96,0.57,8.89,0.58,8.71,3.2,1.86,3.38,1.89,1.53,4.12,157.322
2.64,4.46,6.32,5.51,2.07,1.22,0.97,4.87,7.92,3.34,7.75,9.67,64.368
7.97,0.3,0.12,5.94,7.67,8.4,5.31,2.2,3.23,1.51,4.6,0.47,175.520
2.85,9.9,8.85,3.36,5.31,0.84,5.21,1.96,6.29,4.03,7.4,4.75,104.960
5.04,8.38,8.01,7.96,8.92,4.3,4.26,7.72,7.04,8.58,4.58,0.03,132.288
8.25,6.3,4.24,9.32,7.09,9.93,6.3,2.04,3.39,0.42,5.23,9.39,168.584
2.45,5.62,5.93,5.03,0.33,3.53,3.16,7.43,9.26,9.82,1.5,4.11,64.881
8.96,9.11,9.75,0.93,2.65,8.46,0.49,4.86,3.47,7.44,1.57,7.78,155.642
4.68,4.66,0.53,2.97,7.27,1.48,1.36,1.53,1.85,8.24,5.93,9.15,76.942
0.39,8.02,8.33,2.02,0.98,4.29,5.75,3.88,9.01,5.61,5.86,1.48,76.068
3.07,5.09,3.39,6.23,9.99,3.2,7.87,8.16,1.32,0.03,1.84,8.62,111.243
7.38,7.82,8.94,2.75,9.77,0.44,2.13,8.62,4.16,1.67,4.64,9.05,122.564
3.5,3.92,7.32,7.09,7.29,5.68,0.8,8.02,1.47,4.57,3.46,4.33,153.642
3.83,0.79,4.6,4.56,6.15,4.01,6.46,4.4,5.78,6.22,0.73,8.34,74.977
5.89,1.92,3.78,5.0,3.52,3.27,0.92,0.51,5.39,2.74,2.57,6.24,127.273
1.76,7.55,5.3,1.66,7.48,6.01,0.14,8.53,5.57,7.9,2.38,1.99,112.260
8.92,2.91,2.91,6.99,4.04,2.25,7.66,7.95,1.09,8.01,8.48,3.28,76.830
2.57,4.99,9.65,4.89,5.39,5.6,8.17,5.21,2.85,3.24,1.49,1.03,150.477
9.65,8.07,5.59,3.54,7.42,0.54,0.61,6.39,4.8,6.01,9.84,0.63,123.091
8.23,6.11,8.82,9.77,2.94,7.73,5.67,6.0,9.2,8.52,2.35,6.29,114.646
5.24,5.5,9.95,8.81,0.43,4.9,0.82,6.88,3.54,5.65,1.71,8.71,127.536
3.6,0.39,3.06,0.57,7.24,6.88,2.0,8.42,2.39,3.36,4.35,5.3,84.198
8.39,1.91,7.24,9.28,9.44,6.12,4.84,0.16,7.44,6.71,6.96,6.4,130.360
3.25,6.98,5.83,2.07,2.54,1.57,1.17,0.86,4.95,9.32,8.4,1.33,85.440
1.45,5.64,2.03,0.74,7.54,8.33,6.4,2.42,9.82,8.45,7.16,2.53,69.956
6.49,6.59,9.44,1.87,9.78,4.93,9.69,9.3,6.34,0.14,4.89,2.18,120.160
1.1,1.53,2.94,3.16,1.73,2.64,4.29,6.89,9.5,4.65,1.24,9.66,36.158
5.21,9.63,9.42,7.43,5.0,6.2,3.0,9.8,5.84,9.73,5.98,0.12,124.427
7.3,3.56,4.08,5.51,7.12,3.44,5.8,7.67,4.67,1.0,3.06,8.47,101.109
1.59,2.99,7.44,6.66,7.06,4.86,7.36,5.31,9.04,9.82,8.96,4.85,67.490
6.61,3.92,5.45,5.33,9.46,2.95,9.73,8.15,3.95,9.45,1.68,8.18,81.964
2.52,7.86,3.72,8.22,1.48,0.62,9.63,8.39,7.17,1.21,5.39,1.16,74.112
0.21,0.16,7.69,3.75,4.48,4.27,8.27,7.03,3.78,8.88,2.69,0.15,66.753
7.32,4.05,1.03,7.62,5.79,5.01,5.1,7.65,0.27,1.52,8.46,8.96,96.433
4.84,4.21,0.18,9.1,5.46,8.32,2.66,3.25,9.97,9.99,7.33,3.68,87.066
3.14,6.35,0.68,8.39,0.09,7.41,2.46,4.39,4.26,9.32,1.91,4.76,96.162
6.99,3.52,1.93,1.77,8.09,0.13,7.86,2.8,3.22,5.59,8.37,8.14,62.340
3.91,5.82,0.98,7.87,6.57,7.41,9.31,4.35,9.02,1.3,8.49,6.26,84.069
6.9,0.22,8.33,6.24,8.87,0.87,6.45,2.53,2.3,8.57,5.19,7.89,95.445
7.27,1.07,3.43,2.16,5.34,5.94,4.46,4.8,7.88,1.22,6.79,8.24,75.502
4.48,6.55,0.82,0.68,4.34,8.93,7.62,9.52,1.64,0.29,6.92,9.18,73.358
0.46,1.11,6.77,1.29,5.86,1.62,9.9,6.47,1.81,7.3,9.87,2.89,44.744
5.23,4.38,1.0,9.77,8.73,8.33,8.49,3.79,4.97,1.44,8.25,9.69,102.211
4.63,4.5,4.4,0.24,2.37,6.51,1.87,6.9,5.16,4.13,7.73,0.61,85.795
7.92,1.69,8.54,5.95,5.23,0.43,2.77,5.33,0.94,7.37,3.4,7.56,108.732
4.44,0.82,0.09,3.89,8.64,4.56,1.75,0.81,9.3,8.66,5.33,3.5,76.457
1.72,8.56,7.95,2.49,6.87,0.39,4.54,8.91,1.87,7.25,8.98,7.51,71.633
5.03,8.53,5.49,4.39,3.82,7.82,0.79,9.57,4.67,3.24,2.39,2.12,153.995
